Rmin,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
31,"[119, 119, 115, 109, 101, 91, 79, 79, 63]",97.22222222222223,19.124026643511257,"[215.14624505928853, 215.14624505928853, 214.74476229070348, 214.54957742960516, 214.49629431714268, 214.49184649800787, 214.39655654636212, 214.39655654636212, 214.37022847385882]",214.63759024673544,0.291656976352172,"[0.9960474308300395, 0.9960474308300395, 0.9914347289506162, 0.9859815139228179, 0.9794351338682314, 0.9714304642119921, 0.9614195360823413, 0.9614195360823413, 0.9485408339551276]",0.9768618454148386
32,"[118, 118, 118, 106, 90, 90, 78, 78, 62]",95.33333333333333,19.504985117770392,"[215.3484463894967, 215.3484463894967, 215.3484463894967, 215.1538188476644, 214.71803672843345, 214.71803672843345, 214.63777282554238, 214.63777282554238, 214.63548781353066]",214.94958499307077,0.31960437342028747,"[0.9960612691466083, 0.9960612691466083, 0.9960612691466083, 0.9860394997601486, 0.9715748268254907, 0.9715748268254907, 0.9616387671395269, 0.9616387671395269, 0.9488748356035839]",0.9766139256370658
33,"[118, 118, 118, 106, 98, 88, 76, 76, 60]",95.33333333333333,20.308728282303754,"[215.34770039421812, 215.34770039421812, 215.34770039421812, 215.15066554318247, 215.09938065132056, 215.09870650680034, 215.0102256127399, 215.0102256127399, 214.996208790361]",215.1565015444221,0.1432927018325827,"[0.9960578186596584, 0.9960578186596584, 0.9960578186596584, 0.9860250483188931, 0.9795053763721338, 0.9715388731111126, 0.961584193259123, 0.961584193259123, 0.9487917422346029]",0.9774669869482181
34,"[118, 116, 116, 104, 96, 86, 74, 74, 58]",93.55555555555556,20.564862757794266,"[216.4, 215.74537483559843, 215.74537483559843, 215.54190993041348, 215.48604342751648, 215.47932732476409, 215.38259991366328, 215.38259991366328, 215.35680189376689]",215.61333689722053,0.31006454441015047,"[1.0, 0.9960543621218764, 0.9960543621218764, 0.9860105669277835, 0.9794820155796203, 0.9715028283352753, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382]",0.9778746045859594
35,"[118, 118, 114, 102, 94, 84, 72, 72, 56]",92.22222222222223,21.34259058407639,"[216.4, 216.4, 216.14304519526107, 215.93313615310296, 215.87267576455181, 215.85989899608774, 215.75489539244788, 215.75489539244788, 215.7172664984371]",215.98175704359292,0.25339209301115995,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904]",0.9782829053519718
36,"[116, 116, 112, 100, 92, 82, 70, 70, 54]",90.22222222222223,21.34259058407639,"[216.8, 216.8, 216.54071146245062, 216.32434415466625, 216.2592775581055, 216.24042133358944, 216.12711171131033, 216.12711171131033, 216.07760197497808]",216.36628665626785,0.26529624863533957,"[1.0, 1.0, 0.9960474308300395, 0.9859815139228179, 0.9794351338682314, 0.9714304642119921, 0.9614195360823413, 0.9614195360823413, 0.9485408339551276]",0.9782527165503213
37,"[115, 115, 111, 99, 91, 81, 69, 69, 53]",89.22222222222223,21.34259058407639,"[217.0, 217.0, 216.74293216630196, 216.53427414732863, 216.47583917106832, 216.46687141671933, 216.36872260639356, 216.36872260639356, 216.34346251761713]",216.58898051464695,0.2471134932548587,"[1.0, 1.0, 0.9960612691466083, 0.9860394997601486, 0.9795286840319833, 0.9715748268254907, 0.9616387671395269, 0.9616387671395269, 0.9488748356035839]",0.9783729610718743
38,"[113, 113, 109, 97, 89, 79, 67, 67, 51]",87.22222222222223,21.34259058407639,"[217.4, 217.4, 217.14060446780553, 216.92551063015648, 216.86249032879041, 216.84747647840032, 216.74107716060632, 216.74107716060632, 216.70403392638332]",216.97358557252764,0.25881978057394667,"[1.0, 1.0, 0.9960578186596584, 0.9860250483188931, 0.9795053763721338, 0.9715388731111126, 0.961584193259123, 0.961584193259123, 0.9487917422346029]",0.9783430272460719
39,"[111, 111, 107, 95, 87, 77, 65, 65, 49]",85.22222222222223,21.34259058407639,"[217.8, 217.8, 217.53827268741782, 217.3167289508835, 217.2491110555598, 217.22803241576756, 217.1133529486838, 217.1133529486838, 217.06447697486283]",217.35814755353988,0.27070645156479695,"[1.0, 1.0, 0.9960543621218764, 0.9860105669277835, 0.9794820155796203, 0.9715028283352753, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382]",0.9783130087946399
40,"[109, 109, 105, 93, 85, 75, 63, 63, 47]",83.22222222222223,21.34259058407639,"[218.2, 218.2, 217.93593681439228, 217.7079290529915, 217.6357012472024, 217.60853904196065, 217.48554963356375, 217.48554963356375, 217.42479103536405]",217.7426662732265,0.2827568021442609,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904]",0.9782829053519718
