player 1,Tmax,departure time,payoff,player 2,Tmax,departure time,payoff,player 3,Tmax,departure time,payoff,player 4,Tmax,departure time,payoff
1,166,78,12.722891566265062,2,166,60,10.993577093357517,3,166,35,10.37901394621783,4,166,20,10.059726711567631
1,167,78,12.790419161676645,2,167,60,11.056309023231554,3,167,35,10.4254627322362,4,167,20,10.095637758096718
1,168,78,12.857142857142858,2,168,60,11.118294144416616,3,168,35,10.471358556516257,4,168,20,10.131121292167126
1,169,78,12.923076923076923,2,169,60,11.179545713871674,3,169,35,10.516711234946849,4,169,20,10.166184902757411
1,170,80,12.705882352941178,2,170,62,10.990083004846039,3,170,37,10.357166572975762,4,170,27,10.203045234812123
1,171,82,12.491228070175438,2,171,65,10.8790751427937,3,171,40,10.345858224492076,4,171,30,10.24302599380566
1,172,82,12.558139534883722,2,172,65,10.94159010947417,3,172,40,10.39285067645652,4,172,30,10.283311492755306
1,173,82,12.624277456647398,2,173,65,11.003382359776825,3,173,40,10.439299863080336,4,173,30,10.323131263393396
1,174,82,12.689655172413794,2,174,65,11.064464354328878,3,174,40,10.485215151007324,4,174,30,10.362493335518403
1,175,82,12.754285714285714,2,175,65,11.124848268943193,3,175,40,10.530605692786578,4,175,30,10.401405555390555
1,176,82,12.818181818181817,2,176,65,11.18454600270962,3,176,40,10.575480432954702,4,176,30,10.439875590945976
1,177,82,12.881355932203391,2,177,65,11.243569185812015,3,177,40,10.619848113911887,4,177,30,10.477910936834105
1,178,82,12.9438202247191,2,178,65,11.301929187081805,3,178,40,10.66371728159989,4,178,30,10.51551891928529
1,179,83,12.871508379888269,2,179,65,11.154705433273305,3,179,45,10.70715387996628,4,179,30,10.55270670081523
1,180,85,12.666666666666668,2,180,70,11.213403561218271,3,180,45,10.753092163939733,4,180,30,10.589481284772617
1,181,85,12.7292817679558,2,181,70,11.272662479869918,3,181,45,10.798522842565413,4,181,30,10.625849519735999
1,182,85,12.791208791208792,2,182,70,11.331270201613306,3,182,45,10.843454282964435,4,182,30,10.661818103765718
1,183,85,12.852459016393443,2,183,70,11.389237401807582,3,183,45,10.887894669370029,4,183,30,10.697393588516423
1,184,85,12.913043478260867,2,184,70,11.446574523738878,3,184,45,10.931852008097298,4,184,30,10.73258238321549
1,185,85,12.972972972972974,2,185,70,11.50329178489254,3,185,45,10.975334132351842,4,185,30,10.767390758512406
